feedback_id,customer_id,date,feedback_text,source
F000100,C0041,2026-04-14,The product is easy to use.,In-app
F000101,C0041,2026-04-14,The product has been difficult to use recently.,Support
F000102,C0041,2026-04-14,Our team has had a good experience.,Survey
F000103,C0041,2026-04-14,The dashboard is very useful.,In-app
F000104,C0042,2026-02-21,Our team has had a good experience.,Survey
F000105,C0043,2026-04-04,Our team has had a good experience.,Survey
F000106,C0043,2026-04-07,The dashboard is very useful.,In-app
F000107,C0043,2026-03-31,The dashboard is very useful.,In-app
F000108,C0044,2026-02-24,The dashboard is very useful.,In-app
F000109,C0044,2026-03-14,We need a more reliable integration.,Interview
F000110,C0044,2026-02-24,We are considering other options.,Survey
F000111,C0045,2026-03-09,The product has improved our workflow.,In-app
F000112,C0046,2026-02-05,Our team has had a good experience.,Review
F000113,C0046,2026-04-04,The experience has become frustrating.,Interview
F000114,C0046,2026-02-05,The product has been difficult to use recently.,Interview
F000115,C0046,2026-04-02,The dashboard is very useful.,In-app
F000116,C0047,2026-04-25,The integration keeps causing problems.,Support
F000117,C0047,2026-02-12,The dashboard is very useful.,Survey
F000118,C0047,2026-03-12,We are having too many problems.,Survey
F000119,C0048,2026-01-28,The product has improved our workflow.,Review
F000120,C0049,2026-04-08,The product is easy to use.,Survey
F000121,C0050,2026-04-01,The dashboard is very useful.,Survey
F000122,C0050,2026-02-23,The product has improved our workflow.,In-app
F000123,C0050,2026-04-26,Our team has had a good experience.,Survey
F000124,C0050,2026-04-09,Our team has had a good experience.,Survey
F000125,C0051,2026-01-14,The dashboard is very useful.,Survey
F000126,C0051,2026-02-14,The product has been difficult to use recently.,Survey
F000127,C0051,2026-03-22,The integration setup is confusing.,Survey
F000128,C0051,2026-02-15,We are having too many problems.,Support
F000129,C0052,2026-01-19,The product has been difficult to use recently.,Survey
F000130,C0053,2026-03-20,The dashboard is very useful.,Survey
F000131,C0053,2026-02-28,The product has been difficult to use recently.,Survey
F000132,C0054,2026-04-23,Our team has had a good experience.,Review
F000133,C0054,2026-03-27,The product has improved our workflow.,In-app
F000134,C0055,2026-03-20,Our integration is not working properly.,Support
F000135,C0055,2026-04-04,The product has improved our workflow.,Survey
F000136,C0056,2026-04-19,The product is easy to use.,Review
F000137,C0056,2026-04-19,We are considering other options.,Support
F000138,C0056,2026-04-19,The product has improved our workflow.,Survey
F000139,C0056,2026-04-19,Our team has had a good experience.,In-app
F000140,C0057,2026-02-22,We are having too many problems.,Support
F000141,C0057,2026-02-14,Our team has had a good experience.,In-app
F000142,C0057,2026-03-14,Our integration is not working properly.,Support
F000143,C0058,2026-03-22,The integration setup is confusing.,Interview
F000144,C0058,2026-03-24,The experience has become frustrating.,Support
F000145,C0058,2026-03-19,The experience has become frustrating.,Support
F000146,C0058,2026-04-08,The integration setup is confusing.,Survey
F000147,C0059,2026-03-28,The integration keeps causing problems.,Interview
F000148,C0059,2026-02-03,The product has been difficult to use recently.,Interview
F000149,C0059,2026-02-25,The dashboard is very useful.,Survey
F000150,C0059,2026-02-03,The experience has become frustrating.,Survey
F000151,C0060,2026-04-14,The dashboard is very useful.,Review
F000152,C0060,2026-04-14,Our team has had a good experience.,In-app
F000153,C0061,2026-02-04,Our team has had a good experience.,Review
F000154,C0061,2026-02-01,The dashboard is very useful.,In-app
F000155,C0062,2026-04-04,The product has improved our workflow.,Review
F000156,C0063,2026-03-27,We are having too many problems.,Interview
F000157,C0064,2026-04-01,The integration setup is confusing.,Interview
F000158,C0064,2026-03-10,The product has improved our workflow.,Survey
F000159,C0065,2026-03-03,We need a more reliable integration.,Survey
F000160,C0065,2026-03-03,The product has improved our workflow.,Survey
F000161,C0065,2026-04-05,We are considering other options.,Survey
F000162,C0065,2026-01-26,The product has improved our workflow.,Survey
F000163,C0066,2026-04-29,We are considering other options.,Interview
F000164,C0066,2026-04-29,The product has improved our workflow.,In-app
F000165,C0067,2026-03-02,The product is easy to use.,In-app
F000166,C0067,2026-04-22,The integration setup is confusing.,Support
F000167,C0068,2026-01-11,Our team has had a good experience.,In-app
F000168,C0068,2026-01-20,The product is easy to use.,Survey
F000169,C0068,2026-03-18,The dashboard is very useful.,Review
F000170,C0069,2026-03-12,The product is easy to use.,Survey
F000171,C0069,2026-03-12,The product is easy to use.,Survey
F000172,C0069,2026-04-26,Our integration is not working properly.,Support
F000173,C0070,2026-04-27,We need a more reliable integration.,Survey
F000174,C0070,2026-03-14,We are having too many problems.,Interview
F000175,C0071,2026-04-17,The product has been difficult to use recently.,Survey
F000176,C0072,2026-03-22,We need a more reliable integration.,Support
F000177,C0072,2026-03-22,The dashboard is very useful.,Review
F000178,C0072,2026-03-22,The product has improved our workflow.,Review
F000179,C0073,2026-03-21,The product is easy to use.,Review
F000180,C0073,2026-04-08,The product is easy to use.,Review
F000181,C0074,2026-04-24,The experience has become frustrating.,Survey
F000182,C0074,2026-04-24,The experience has become frustrating.,Support
F000183,C0074,2026-04-24,Our team has had a good experience.,Survey
F000184,C0075,2026-04-21,The dashboard is very useful.,Review
F000185,C0075,2026-04-21,We are having too many problems.,Survey
F000186,C0075,2026-04-21,Our team has had a good experience.,Review
F000187,C0076,2026-02-16,We are having too many problems.,Support
F000188,C0076,2026-02-16,The product is easy to use.,In-app
F000189,C0077,2026-03-26,The product has improved our workflow.,In-app
F000190,C0077,2026-04-02,Our team has had a good experience.,In-app
F000191,C0077,2026-04-14,We are having too many problems.,Interview
F000192,C0078,2026-02-01,The product has improved our workflow.,Review
F000193,C0078,2026-01-25,The product is easy to use.,In-app
F000194,C0079,2026-04-01,The dashboard is very useful.,Survey
F000195,C0080,2026-03-16,Our integration is not working properly.,Support
F000196,C0081,2026-01-13,The product has improved our workflow.,In-app
F000197,C0081,2026-01-26,Our team has had a good experience.,Survey
F000198,C0082,2026-04-27,The integration keeps causing problems.,Support
F000199,C0082,2026-03-26,Our integration is not working properly.,Support
F000200,C0082,2026-03-26,The dashboard is very useful.,Review
F000201,C0083,2026-03-21,We need a more reliable integration.,Support
F000202,C0083,2026-01-30,Our team has had a good experience.,Survey
F000203,C0083,2026-01-30,The dashboard is very useful.,Review
F000204,C0083,2026-01-30,The product has improved our workflow.,In-app
F000205,C0084,2026-04-09,We are having too many problems.,Interview
F000206,C0084,2026-04-09,The product is easy to use.,In-app
F000207,C0085,2026-02-07,The product has been difficult to use recently.,Support
F000208,C0085,2026-02-07,We are considering other options.,Survey
F000209,C0085,2026-02-07,The product has been difficult to use recently.,Interview
F000210,C0086,2026-02-15,The product has been difficult to use recently.,Support
F000211,C0086,2026-01-11,The product has improved our workflow.,Survey
F000212,C0086,2026-01-28,Our team has had a good experience.,In-app
F000213,C0087,2026-04-20,The product is easy to use.,Survey
F000214,C0087,2026-04-20,The experience has become frustrating.,Support
F000215,C0087,2026-04-20,The integration setup is confusing.,Interview
F000216,C0087,2026-04-23,We are considering other options.,Interview
F000217,C0088,2026-02-24,The product has improved our workflow.,In-app
F000218,C0088,2026-02-19,The dashboard is very useful.,Review
F000219,C0088,2026-03-19,The dashboard is very useful.,Survey
F000220,C0088,2026-01-30,The product has improved our workflow.,In-app
F000221,C0089,2026-04-21,The product is easy to use.,Review
F000222,C0089,2026-04-26,We are having too many problems.,Interview
F000223,C0089,2026-04-21,Our team has had a good experience.,In-app
F000224,C0090,2026-03-26,The experience has become frustrating.,Support
F000225,C0090,2026-02-01,The dashboard is very useful.,In-app
F000226,C0090,2026-01-15,The dashboard is very useful.,Survey
F000227,C0090,2026-04-16,Our integration is not working properly.,Survey
F000228,C0091,2026-02-18,The product is easy to use.,Review
F000229,C0091,2026-03-14,The product is easy to use.,Review
F000230,C0091,2026-02-18,The product has been difficult to use recently.,Survey
F000231,C0091,2026-02-18,Our team has had a good experience.,Review
F000232,C0092,2026-04-16,The integration setup is confusing.,Survey
F000233,C0092,2026-02-05,The product has improved our workflow.,In-app
F000234,C0092,2026-02-05,The product has improved our workflow.,Review
F000235,C0092,2026-03-14,We are considering other options.,Support
F000236,C0093,2026-04-21,The dashboard is very useful.,In-app
F000237,C0094,2026-03-23,The integration keeps causing problems.,Survey
F000238,C0094,2026-03-23,The product has improved our workflow.,In-app
F000239,C0094,2026-03-23,We are considering other options.,Interview
F000240,C0094,2026-04-06,The dashboard is very useful.,Review
F000241,C0095,2026-04-26,The dashboard is very useful.,Review
F000242,C0095,2026-04-17,The dashboard is very useful.,Review
F000243,C0095,2026-04-17,The product is easy to use.,In-app
F000244,C0096,2026-02-21,Our team has had a good experience.,In-app
F000245,C0097,2026-01-21,The dashboard is very useful.,Review
F000246,C0098,2026-03-11,The product has improved our workflow.,Survey
F000247,C0098,2026-02-17,We are having too many problems.,Support
F000248,C0098,2026-02-28,We are considering other options.,Interview
F000249,C0098,2026-04-04,We are considering other options.,Survey
F000250,C0099,2026-04-04,The product is easy to use.,Review
F000251,C0099,2026-02-22,We are considering other options.,Support
F000252,C0099,2026-02-15,The product has improved our workflow.,Survey
F000253,C0099,2026-04-02,The product has improved our workflow.,Review
F000254,C0100,2026-01-27,Our team has had a good experience.,In-app
F000255,C0101,2026-03-27,We are having too many problems.,Survey
F000256,C0101,2026-03-27,Our team has had a good experience.,Survey
F000257,C0102,2026-02-04,The experience has become frustrating.,Survey
F000258,C0102,2026-04-11,The product has improved our workflow.,Review
F000259,C0103,2026-03-31,The dashboard is very useful.,Review
F000260,C0103,2026-03-31,The product is easy to use.,Review
F000261,C0103,2026-03-31,We are having too many problems.,Interview
F000262,C0103,2026-04-27,The product is easy to use.,In-app
F000263,C0104,2026-04-30,The integration keeps causing problems.,Survey
F000264,C0104,2026-04-30,The dashboard is very useful.,Survey
F000265,C0105,2026-03-29,We are considering other options.,Interview
F000266,C0105,2026-03-29,Our team has had a good experience.,In-app
F000267,C0106,2026-03-24,The product has been difficult to use recently.,Support
F000268,C0106,2026-03-24,The product is easy to use.,In-app
F000269,C0107,2026-03-23,We need a more reliable integration.,Survey
F000270,C0107,2026-01-10,The product has been difficult to use recently.,Support
F000271,C0107,2026-03-06,The dashboard is very useful.,Review
F000272,C0107,2026-02-13,The product has improved our workflow.,Review
F000273,C0108,2026-04-20,The integration setup is confusing.,Interview
F000274,C0108,2026-03-19,The product is easy to use.,Survey
F000275,C0109,2026-03-23,The experience has become frustrating.,Interview
F000276,C0110,2026-04-17,We need a more reliable integration.,Support
F000277,C0110,2026-03-13,The integration setup is confusing.,Interview
F000278,C0110,2026-02-11,Our team has had a good experience.,Review
F000279,C0110,2026-02-20,The product is easy to use.,Survey
F000280,C0111,2026-04-25,Our team has had a good experience.,In-app
F000281,C0111,2026-03-10,The dashboard is very useful.,Review
F000282,C0111,2026-03-10,The product is easy to use.,Review
F000283,C0111,2026-03-10,We are having too many problems.,Support
F000284,C0112,2026-04-04,The product is easy to use.,In-app
F000285,C0112,2026-04-10,The product has been difficult to use recently.,Interview
F000286,C0112,2026-04-04,The dashboard is very useful.,In-app
F000287,C0112,2026-04-04,The integration keeps causing problems.,Interview
F000288,C0113,2026-03-24,Our integration is not working properly.,Survey
F000289,C0113,2026-02-28,The product is easy to use.,Review
F000290,C0113,2026-02-01,We are having too many problems.,Support
F000291,C0114,2026-01-21,The dashboard is very useful.,In-app
F000292,C0114,2026-03-19,Our team has had a good experience.,Review
F000293,C0114,2026-04-16,The integration keeps causing problems.,Interview
F000294,C0114,2026-02-24,The product is easy to use.,Survey
F000295,C0115,2026-03-01,The dashboard is very useful.,Survey
F000296,C0115,2026-03-01,The dashboard is very useful.,Review
F000297,C0116,2026-03-26,The dashboard is very useful.,Review
F000298,C0116,2026-03-14,The product is easy to use.,In-app
F000299,C0116,2026-02-28,The product is easy to use.,Review
F000300,C0116,2026-02-18,The product has been difficult to use recently.,Support
F000301,C0117,2026-02-19,The dashboard is very useful.,Review
F000302,C0117,2026-04-17,The product is easy to use.,Review
F000303,C0117,2026-02-07,The dashboard is very useful.,Survey
F000304,C0118,2026-04-29,We are considering other options.,Survey
F000305,C0118,2026-04-29,The dashboard is very useful.,Review
F000306,C0118,2026-04-29,We need a more reliable integration.,Survey
F000307,C0119,2026-04-09,The dashboard is very useful.,Survey
F000308,C0120,2026-03-30,We are having too many problems.,Interview
F000309,C0120,2026-03-30,The experience has become frustrating.,Survey
F000310,C0120,2026-03-30,The product has improved our workflow.,In-app
F000311,C0120,2026-03-30,Our team has had a good experience.,Survey
F000312,C0121,2026-03-13,The integration keeps causing problems.,Support
F000313,C0121,2026-03-13,Our team has had a good experience.,Review
F000314,C0121,2026-03-26,The integration keeps causing problems.,Interview
F000315,C0121,2026-04-09,The product has improved our workflow.,Survey
F000316,C0122,2026-04-07,The product has improved our workflow.,Survey
F000317,C0122,2026-04-05,We need a more reliable integration.,Interview
F000318,C0122,2026-03-20,Our integration is not working properly.,Interview
F000319,C0123,2026-03-29,The product is easy to use.,Survey
F000320,C0123,2026-03-29,We are having too many problems.,Survey
F000321,C0123,2026-03-29,We are having too many problems.,Support
F000322,C0123,2026-03-29,Our team has had a good experience.,Survey
F000323,C0124,2026-02-11,The product has been difficult to use recently.,Survey
F000324,C0124,2026-04-03,The product has improved our workflow.,Survey
F000325,C0125,2026-04-18,The product is easy to use.,Review
F000326,C0125,2026-04-18,The product has improved our workflow.,Review
F000327,C0126,2026-04-27,Our team has had a good experience.,In-app
F000328,C0127,2026-04-10,The experience has become frustrating.,Survey
F000329,C0127,2026-04-18,The product is easy to use.,In-app
F000330,C0127,2026-04-10,Our team has had a good experience.,In-app
F000331,C0128,2026-03-05,The product has improved our workflow.,Survey
F000332,C0128,2026-04-14,The integration setup is confusing.,Survey
F000333,C0128,2026-04-13,The dashboard is very useful.,Review
F000334,C0128,2026-02-21,Our team has had a good experience.,In-app
F000335,C0129,2026-01-30,The dashboard is very useful.,Review
F000336,C0130,2026-04-16,The product has improved our workflow.,Survey
F000337,C0130,2026-04-16,Our team has had a good experience.,In-app
F000338,C0131,2026-02-05,We are having too many problems.,Survey
F000339,C0131,2026-03-25,The integration keeps causing problems.,Survey
F000340,C0131,2026-01-12,The product has improved our workflow.,In-app
F000341,C0132,2026-04-19,The integration keeps causing problems.,Support
F000342,C0133,2026-03-17,The product is easy to use.,Review
F000343,C0133,2026-02-10,Our team has had a good experience.,Survey
F000344,C0133,2026-02-10,The dashboard is very useful.,In-app
F000345,C0134,2026-02-21,The product is easy to use.,Review
F000346,C0134,2026-04-11,We are considering other options.,Interview
F000347,C0135,2026-04-08,The product has improved our workflow.,In-app
F000348,C0135,2026-03-19,We are considering other options.,Interview
F000349,C0135,2026-02-04,The product has improved our workflow.,In-app
F000350,C0136,2026-03-22,Our integration is not working properly.,Support
F000351,C0136,2026-01-09,The product is easy to use.,In-app
F000352,C0137,2026-01-28,We are having too many problems.,Survey
F000353,C0137,2026-03-21,The product has been difficult to use recently.,Survey
F000354,C0138,2026-04-27,The product has improved our workflow.,In-app
F000355,C0138,2026-04-27,The product is easy to use.,In-app
F000356,C0138,2026-04-27,Our team has had a good experience.,In-app
F000357,C0138,2026-04-27,The product has improved our workflow.,Review
F000358,C0139,2026-04-14,The integration keeps causing problems.,Survey
F000359,C0139,2026-03-14,The product is easy to use.,Survey
F000360,C0139,2026-03-14,The product has been difficult to use recently.,Interview
F000361,C0139,2026-03-14,The product has improved our workflow.,In-app
F000362,C0140,2026-04-23,The dashboard is very useful.,Review
F000363,C0140,2026-04-23,Our integration is not working properly.,Interview
F000364,C0140,2026-04-23,The dashboard is very useful.,In-app
F000365,C0140,2026-04-23,The product has improved our workflow.,Survey
F000366,C0141,2026-04-02,Our team has had a good experience.,Review
F000367,C0141,2026-04-02,The product is easy to use.,In-app
F000368,C0141,2026-04-02,The product has been difficult to use recently.,Support
F000369,C0142,2026-02-10,The dashboard is very useful.,In-app
F000370,C0143,2026-03-04,Our team has had a good experience.,In-app
F000371,C0143,2026-01-28,The product has been difficult to use recently.,Support
F000372,C0144,2026-03-25,The product is easy to use.,In-app
F000373,C0144,2026-04-23,The product is easy to use.,Survey
F000374,C0144,2026-03-25,Our team has had a good experience.,Survey
F000375,C0145,2026-03-05,We are considering other options.,Support
F000376,C0145,2026-03-05,The product has improved our workflow.,Review
F000377,C0145,2026-03-05,The product is easy to use.,Review
F000378,C0146,2026-02-20,Our team has had a good experience.,Survey
F000379,C0146,2026-04-11,The product has improved our workflow.,Review
F000380,C0146,2026-04-11,The product is easy to use.,Review
F000381,C0147,2026-04-24,The experience has become frustrating.,Interview
F000382,C0147,2026-04-24,The product is easy to use.,Survey
F000383,C0147,2026-04-24,We need a more reliable integration.,Interview
F000384,C0147,2026-04-24,The dashboard is very useful.,Survey
F000385,C0148,2026-04-28,The dashboard is very useful.,In-app
F000386,C0148,2026-04-28,The dashboard is very useful.,Survey
F000387,C0149,2026-04-16,Our integration is not working properly.,Interview
F000388,C0149,2026-03-24,The dashboard is very useful.,Survey
F000389,C0150,2026-04-16,The product is easy to use.,In-app
F000390,C0150,2026-04-17,The dashboard is very useful.,Survey
F000391,C0151,2026-04-26,We are considering other options.,Interview
F000392,C0151,2026-01-21,The product has improved our workflow.,Review
F000393,C0151,2026-01-19,The product is easy to use.,In-app
F000394,C0151,2026-03-22,The product is easy to use.,Review
F000395,C0152,2026-04-19,We are considering other options.,Interview
F000396,C0153,2026-01-27,Our team has had a good experience.,Review
F000397,C0153,2026-03-28,The product is easy to use.,In-app
F000398,C0153,2026-03-02,The experience has become frustrating.,Support
F000399,C0153,2026-02-27,The product has improved our workflow.,Survey
F000400,C0154,2026-04-18,We are having too many problems.,Interview
F000401,C0154,2026-02-01,The dashboard is very useful.,Review
F000402,C0154,2026-04-22,We are having too many problems.,Support
F000403,C0155,2026-04-24,Our team has had a good experience.,In-app
F000404,C0155,2026-04-06,The dashboard is very useful.,In-app
F000405,C0155,2026-04-06,The experience has become frustrating.,Interview
F000406,C0156,2026-03-17,The product is easy to use.,In-app
F000407,C0157,2026-03-10,The product has been difficult to use recently.,Interview
F000408,C0157,2026-03-10,We are having too many problems.,Support
F000409,C0158,2026-02-03,The product has improved our workflow.,Review
F000410,C0158,2026-02-06,The product has improved our workflow.,In-app
F000411,C0158,2026-03-25,We need a more reliable integration.,Support
F000412,C0158,2026-02-27,The experience has become frustrating.,Interview
F000413,C0159,2026-04-08,The product has improved our workflow.,Survey
F000414,C0159,2026-04-06,The product has improved our workflow.,Survey
F000415,C0160,2026-03-16,We are having too many problems.,Survey
F000416,C0160,2026-03-16,We are considering other options.,Survey
F000417,C0160,2026-04-16,Our team has had a good experience.,In-app
F000418,C0161,2026-02-24,The product has improved our workflow.,In-app
F000419,C0161,2026-04-16,The product has improved our workflow.,In-app
F000420,C0161,2026-03-13,Our team has had a good experience.,In-app
F000421,C0162,2026-04-25,The dashboard is very useful.,Survey
F000422,C0163,2026-03-26,Our team has had a good experience.,Survey
F000423,C0163,2026-04-22,The integration keeps causing problems.,Support
F000424,C0163,2026-03-16,The product is easy to use.,Review
F000425,C0163,2026-04-03,We are considering other options.,Survey
F000426,C0164,2026-03-13,The product has improved our workflow.,Review
F000427,C0165,2026-04-04,Our integration is not working properly.,Interview
F000428,C0165,2026-04-04,Our team has had a good experience.,In-app
F000429,C0165,2026-02-16,We are having too many problems.,Survey
F000430,C0165,2026-04-03,The integration setup is confusing.,Support
F000431,C0166,2026-01-29,We are having too many problems.,Survey
F000432,C0167,2026-01-24,The dashboard is very useful.,In-app
F000433,C0167,2026-04-14,The integration keeps causing problems.,Survey
F000434,C0168,2026-03-24,The product has been difficult to use recently.,Survey
F000435,C0168,2026-04-27,The integration keeps causing problems.,Survey
F000436,C0168,2026-03-07,Our team has had a good experience.,Survey
F000437,C0169,2026-03-25,We need a more reliable integration.,Survey
F000438,C0169,2026-04-14,We need a more reliable integration.,Support
F000439,C0169,2026-03-05,The product has been difficult to use recently.,Support
F000440,C0170,2026-04-22,The dashboard is very useful.,Survey
F000441,C0171,2026-04-07,The dashboard is very useful.,In-app
F000442,C0171,2026-04-07,The product is easy to use.,In-app
F000443,C0172,2026-02-05,The product is easy to use.,Survey
F000444,C0172,2026-02-08,The product is easy to use.,Review
F000445,C0173,2026-04-21,The product has improved our workflow.,Survey
F000446,C0173,2026-04-21,The dashboard is very useful.,Survey
F000447,C0173,2026-04-21,The dashboard is very useful.,Review
F000448,C0174,2026-04-27,The dashboard is very useful.,Survey
F000449,C0174,2026-02-03,The dashboard is very useful.,In-app
F000450,C0174,2026-01-20,We are considering other options.,Interview
F000451,C0175,2026-03-12,The product has improved our workflow.,Survey
F000452,C0176,2026-03-23,The dashboard is very useful.,Review
F000453,C0176,2026-04-06,We need a more reliable integration.,Survey
F000454,C0176,2026-03-22,We are having too many problems.,Support
F000455,C0177,2026-01-21,Our team has had a good experience.,Review
F000456,C0177,2026-04-18,Our team has had a good experience.,Review
F000457,C0178,2026-04-12,Our team has had a good experience.,Survey
F000458,C0178,2026-04-12,We are having too many problems.,Support
F000459,C0178,2026-04-12,The dashboard is very useful.,Survey
F000460,C0179,2026-03-29,The product has improved our workflow.,Survey
F000461,C0179,2026-03-29,The product is easy to use.,Survey
F000462,C0179,2026-03-29,The dashboard is very useful.,Survey
F000463,C0180,2026-02-24,The product has been difficult to use recently.,Survey
F000464,C0180,2026-04-05,The product has improved our workflow.,Survey
F000465,C0180,2026-02-24,The product has improved our workflow.,In-app
F000466,C0180,2026-04-13,The product is easy to use.,Review
F000467,C0181,2026-04-09,The product has been difficult to use recently.,Support
F000468,C0182,2026-04-16,The integration setup is confusing.,Survey
F000469,C0182,2026-03-14,The experience has become frustrating.,Interview
F000470,C0182,2026-02-01,We are considering other options.,Interview
F000471,C0182,2026-03-18,Our integration is not working properly.,Support
F000472,C0183,2026-04-12,We need a more reliable integration.,Support
F000473,C0183,2026-04-21,The integration keeps causing problems.,Support
F000474,C0183,2026-02-19,Our team has had a good experience.,In-app
F000475,C0183,2026-02-19,The dashboard is very useful.,In-app
F000476,C0184,2026-02-18,The dashboard is very useful.,In-app
F000477,C0185,2026-03-18,The dashboard is very useful.,Survey
